make_model,body_type,km,gear_type,fuel_type,price
Opel Corsa,Compact,139822.0,Semi-automatic,Other,5245.0
Volkswagen Touareg,Off-Road/Pick-up,81848.0,Automatic,Diesel,31850.0
Volkswagen Sharan,Van,131188.0,Manuel,Diesel,14950.0
Toyota C-HR,Off-Road/Pick-up,,Automatic,,23650.0
Opel Grandland X,Off-Road/Pick-up,16474.0,Automatic,Gasoline,25950.0
Opel Corsa,Compact,17508.0,Manuel,Gasoline,9950.0
Volkswagen Beetle,Convertible,12459.0,Manuel,Gasoline,25900.0
Volkswagen Golf Sportsvan,Van,41604.0,Automatic,Gasoline,15250.0
Toyota Tundra,Other,15.0,Manuel,Gasoline,57500.0
Opel Mokka,Off-Road/Pick-up,107500.0,Automatic,Gasoline,14450.0
Toyota Verso,Van,138043.0,Manuel,Gasoline,10950.0
Toyota RAV 4,Off-Road/Pick-up,83592.0,Semi-automatic,Gasoline,19685.0
Volkswagen Passat Variant,Station wagon,42951.0,Automatic,Diesel,26945.0
Honda Insight,Compact,109976.0,Manuel,Electric/Gasoline,9900.0
Volkswagen Tiguan,Off-Road/Pick-up,95716.0,Manuel,Gasoline,
Toyota Tundra,Transporter,147230.0,Semi-automatic,Other,29900.0
Volkswagen Tiguan,Off-Road/Pick-up,56997.0,Semi-automatic,Gasoline,16445.0
Opel Corsa,Compact,1.0,,Electric,32450.0
Toyota Proace,Transporter,,Manuel,Diesel,19950.0
Opel Astra,Compact,192736.0,Semi-automatic,,5699.0
Opel Corsa,Compact,11540.0,Automatic,Gasoline,12950.0
Opel Ampera,Compact,58404.0,Automatic,Electric,
Toyota Hilux,Off-Road/Pick-up,250.0,Semi-automatic,Diesel,28315.0
Volkswagen Golf,Compact,71268.0,Manuel,Electric/Gasoline,18900.0
Volkswagen Tiguan,Off-Road/Pick-up,150974.0,Automatic,Gasoline,15250.0
Volkswagen Golf,Compact,165350.0,Automatic,Diesel,13500.0
Opel Zafira,Van,118694.0,Manuel,Diesel,10801.0
Volkswagen Arteon,Station wagon,7899.0,Automatic,Gasoline,46900.0
Toyota Hilux,Off-Road/Pick-up,4.0,Automatic,Diesel,34506.0
Toyota Prius,Compact,114836.0,Automatic,Electric/Gasoline,9950.0
Opel Corsa,Compact,144861.0,Manuel,Gasoline,6745.0
Opel Corsa,Compact,164311.0,Manuel,Gasoline,4950.0
Volkswagen up!,Compact,97900.0,Semi-automatic,Gasoline,5100.0
Toyota C-HR,Off-Road/Pick-up,58232.0,Manuel,Electric/Gasoline,22745.0
Volkswagen Passat Variant,Station wagon,124062.0,Manuel,Electric/Gasoline,18450.0
Toyota C-HR,Off-Road/Pick-up,,Manuel,Electric/Gasoline,22745.0
Volkswagen Polo,Compact,215202.0,Manuel,Diesel,6250.0
Volkswagen Passat,Sedans,119268.0,Automatic,Gasoline,11400.0
Volkswagen Tiguan,Off-Road/Pick-up,75982.0,Automatic,Diesel,35950.0
Volkswagen T-Cross,Off-Road/Pick-up,25631.0,,Gasoline,23925.0
Toyota C-HR,Off-Road/Pick-up,,Manuel,Electric/Gasoline,24495.0
Toyota Yaris,Compact,128461.0,Automatic,Gasoline,6950.0
Opel Zafira Tourer,Van,160883.0,Manuel,Gasoline,13940.0
Volkswagen Golf Variant,Sedans,148762.0,Automatic,Diesel,27890.0
Toyota Aygo,Compact,51013.0,Manuel,Gasoline,8200.0
Opel Vivaro,Transporter,174181.0,Semi-automatic,Diesel,10950.0
Toyota Prius+,Van,97635.0,Manuel,Electric/Gasoline,19990.0
Opel Mokka X,Off-Road/Pick-up,26100.0,Automatic,Gasoline,19995.0
Volkswagen T6 Transporter,Transporter,191409.0,Automatic,Diesel,16950.0
Honda Civic,Compact,33721.0,Manuel,Gasoline,20950.0
Volkswagen Transporter,Transporter,333147.0,Automatic,Diesel,7745.0
Honda Jazz,Van,4.0,Automatic,Electric/Gasoline,29150.0
Toyota C-HR,Off-Road/Pick-up,97861.0,Manuel,Gasoline,18400.0
Volkswagen Tiguan,Off-Road/Pick-up,60479.0,Manuel,Gasoline,13500.0
Toyota Auris,Station wagon,65354.0,Automatic,Electric/Gasoline,14750.0
Volkswagen Golf,Station wagon,98500.0,Manuel,Gasoline,17500.0
Toyota Aygo,Compact,21512.0,Automatic,Gasoline,12450.0
Volkswagen Caddy,Transporter,114881.0,Manuel,Diesel,4950.0
Toyota Auris,Station wagon,63742.0,Manuel,Electric/Gasoline,16495.0
Volkswagen Golf Variant,Station wagon,1155.0,Automatic,Electric/Gasoline,31950.0
Volkswagen Transporter,Transporter,142727.0,Automatic,Diesel,15444.0
Volkswagen Tiguan,Station wagon,127000.0,Manuel,Gasoline,12950.0
Opel Astra,Station wagon,154419.0,Manuel,Gasoline,9950.0
